symbol,name,exchange,yahoo
ACCS,ACCESS Newswire Inc. Common Stock,A,ACCS
ACU,Acme United Corporation. Common Stock,A,ACU
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",A,AEF
AEON,"AEON Biopharma, Inc. Class A Common Stock",A,AEON
AIM,AIM ImmunoTech Inc. Common Stock,A,AIM
AIRI,Air Industries Group Common Stock,A,AIRI
AMBI,Ambipar Emergency Response Class A Ordinary Shares,A,AMBI
AMBI.W,"Ambipar Emergency Response Warrants to purchase Class A ordinary shares, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",A,AMBI-W
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),A,AMBO
AMS,American Shared Hospital Services Common Stock,A,AMS
AMZE,"Amaze Holdings, Inc. Common Stock",A,AMZE
APT,"Alpha Pro Tech, Ltd. Common Stock",A,APT
APUS,"Apimeds Pharmaceuticals US, Inc. Common Stock",A,APUS
AREN,"The Arena Group Holdings, Inc. Common Stock",A,AREN
ARMN,Aris Mining Corporation Common Shares,A,ARMN
ARMP,"Armata Pharmaceuticals, Inc. Common Stock",A,ARMP
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),A,ASM
ATCH,"AtlasClear Holdings, Inc. Common Stock",A,ATCH
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware) Common Stock",A,ATNM
AUST,Austin Gold Corp. Common Shares,A,AUST
AWX,Avalon Holdings Corporation Common Stock,A,AWX
AXIL,"AXIL Brands, Inc. Common Stock",A,AXIL
AZTR,Azitra Inc Common Stock,A,AZTR
BATL,Battalion Oil Corporation Common Stock,A,BATL
BCV,"Bancroft Fund, Ltd.",A,BCV
BCV$A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,A,BCV$A
BDL,"Flanigan's Enterprises, Inc. Common Stock",A,BDL
BGI,Birks Group Inc. Common Stock,A,BGI
BHB,"Bar Harbor Bankshares, Inc. Common Stock",A,BHB
BHM,"Bluerock Homes Trust, Inc. Class A Common Stock",A,BHM
BKTI,BK Technologies Corporation Common Stock,A,BKTI
BMNR,"BitMine Immersion Technologies, Inc. Common Stock",A,BMNR
BQ,Boqii Holding Limited Class A Ordinary Shares,A,BQ
BRBS,"Blue Ridge Bankshares, Inc. Common Stock",A,BRBS
BRIA,BrilliA Inc Class A Ordinary Shares,A,BRIA
BRN,"Barnwell Industries, Inc. Common Stock",A,BRN
BTG,B2Gold Corp Common shares (Canada),A,BTG
BURU,"Nuburu, Inc. Common Stock",A,BURU
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),A,CANF
CATX,"Perspective Therapeutics, Inc. Common Stock",A,CATX
CCEL,"Cryo-Cell International, Inc. Common Stock",A,CCEL
CET,Central Securities Corporation Common Stock,A,CET
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,A,CEV
CHOW,ChowChow Cloud International Holdings Limited Ordinary Shares,A,CHOW
CIK,"Credit Suisse Asset Management Income Fund, Inc. Common Stock",A,CIK
CIX,CompX International Inc. Common Stock,A,CIX
CKX,"CKX Lands, Inc. Common Stock",A,CKX
CLDI,"Calidi Biotherapeutics, Inc. Common Stock",A,CLDI
CLM,"Cornerstone Strategic Investment Fund, Inc. Common Shares",A,CLM
CMCL,Caledonia Mining Corporation Plc Common Shares,A,CMCL
CMT,Core Molding Technologies Inc Common Stock,A,CMT
CNL,Collective Mining Ltd. Common Shares,A,CNL
COE,"51Talk Online Education Group American depositary shares, each representing 60 Class A ordinary shares",A,COE
COHN,Cohen & Company Inc.,A,COHN
CPHI,"China Pharma Holdings, Inc. Common Stock",A,CPHI
CRF,"Cornerstone Total Return Fund, Inc. (The) Common Stock",A,CRF
CTGO,"Contango ORE, Inc. Common Stock",A,CTGO
CTM,"Castellum, Inc. Common Stock",A,CTM
